id,title,genre,raiting,price,stock
A001,The Legend of Zelda: TOTK,Aventura,9.7,69.99,15
A002,God of War Ragnarök,Accion,9.5,59.99,22
R003,Elden Ring,Rol,9.6,49.99,30
E004,Civilization VI,Estrategia,9.0,29.99,18
S005,Forza Horizon 5,Simulacion,9.2,39.99,10
D006,FIFA 25,Deportes,8.8,69.99,45
R008,Cyberpunk 2077,Rol,8.7,34.99,25
A009,Resident Evil 4 Remake,Accion,9.3,49.99,17
S010,Stardew Valley,Simulacion,9.8,14.99,40
A012,Red Dead Redemption 2,Aventura,9.7,19.99,28
A013,Hollow Knight,Accion,9.0,14.99,35
R014,Final Fantasy XVI,Rol,9.0,59.99,12
S015,F1 Manager 2024,Simulacion,8.6,49.99,8
C016,Tetris Effect: Connected,Casual,9.1,29.99,20
A079,Bayonetta 3,Accion,9.0,59.99,10
R080,Tales of Arise,Rol,8.9,39.99,19
S081,Two Point Hospital,Simulacion,8.5,29.99,12
A082,The Last of Us Part I,Aventura,9.5,49.99,21
D083,Golf With Your Friends,Deportes,8.0,9.99,38
C084,Mini Motorways,Casual,9.0,9.99,30
E085,Command & Conquer Remastered,Estrategia,8.2,19.99,17
A086,Ghostwire: Tokyo,Accion,8.1,29.99,20
R087,Pathfinder: Wrath of the Righteous,Rol,9.1,49.99,9
S088,Elite Dangerous,Simulacion,8.4,29.99,14
A089,Death Stranding,Aventura,8.5,19.99,26
D090,Need for Speed Unbound,Deportes,7.5,29.99,22
C091,Peggle,Casual,8.8,4.99,44
E092,Halo Wars 2,Estrategia,8.0,14.99,19
A187,Zelda: Breath of the Wild,Aventura,9.7,59.99,25
D188,Street Fighter 6,Deportes,9.0,69.99,15
C189,Limbo,Casual,9.0,9.99,28
E190,Company of Heroes,Estrategia,9.3,9.99,17
A191,Middle-earth: Shadow of Mordor,Accion,8.7,9.99,29
R192,The Outer Worlds,Rol,8.5,24.99,21
S193,The Long Dark,Simulacion,8.5,24.99,14
A194,God of War (2018),Accion,9.4,19.99,33
D195,Gran Turismo 6,Deportes,8.0,9.99,27
C196,Threes!,Casual,8.5,5.99,30
E197,Tropico 6,Estrategia,8,15.99,16
R199,Divinity: Original Sin 2,Rol,9.5,24.99,11
